,Emissions_CT22,Top Fifty Polluters Supply_CT22,Average Polluters Supply_CT22,Top Fifty Efficient Supply_CT22
0,1000325,500000,500000,500000
50,989575,479150,477824,628577
100,990670,459286,458012,789046
150,972516,423038,418728,971440
200,970856,389514,382963,1195676
250,957718,344582,336252,1442704
300,938177,292986,280440,1707648
350,920914,239389,219885,1982086
400,908988,187782,165237,2252715
450,896028,138666,117119,2486366
500,881630,96147,79063,2665091
550,872922,63255,50756,2799296
600,864752,40223,32206,2881679
650,860430,25277,19817,2938356
700,863909,15629,12183,2995448
750,856077,9571,7328,2995317
800,859902,6009,4778,3024542
850,856272,3509,924,3026261
900,861395,0,0,3055746
950,861242,0,0,3054377
1000,861011,0,0,3054749
1050,860849,0,0,3053322
1100,860585,0,0,3053159
1150,860380,0,0,3052972
1200,860339,0,0,3052804
1250,860154,0,0,3053209
1300,859949,0,0,3052975
1350,859811,0,0,3052782
1400,859721,0,0,3052595
1450,859655,0,0,3053037
1500,859465,0,0,3052282
1550,859264,0,0,3052688
1600,859387,0,0,3051942
1650,859282,0,0,3051136
1700,859291,0,0,3052158
1750,859199,0,0,3052622
1800,859148,0,0,3051796
1850,859014,0,0,3052253
1900,858856,0,0,3052064
1950,858706,0,0,3051937
2000,858620,0,0,3051763
2050,858620,0,0,3051582
2100,858352,0,0,3051460
2150,858312,0,0,3050751
2200,858194,0,0,3050605
2250,858254,0,0,3051072
2300,858294,0,0,3051515
2350,858223,0,0,3051363
2400,858217,0,0,3051211
