,Emissions_SP5,Top Fifty Polluters Supply_SP5,Average Polluters Supply_SP5,Top Fifty Efficient Supply_SP5
0,1000648,500000,500000,500000
50,995641,412244,518576,524874
100,993693,308363,543330,551594
150,985921,220580,562995,574014
200,981038,155901,584873,597290
250,978673,104182,605491,621560
300,969668,68351,621246,640387
350,962986,46838,638223,659813
400,967017,31985,661454,686581
450,963914,19460,678133,707357
500,953350,11780,688857,721589
550,953072,6188,706644,743415
600,954349,3410,724904,765937
650,947855,1977,736828,781319
700,942858,1111,747893,797001
750,947637,528,768278,821171
800,944588,270,778452,837653
850,942368,190,789685,854483
900,941274,142,799864,871662
950,940939,0,808409,889191
1000,932555,0,812660,898081
1050,933503,0,823778,916157
1100,935642,0,824153,934538
1150,929338,0,812692,943877
1200,932660,0,811257,962853
1250,927401,0,790887,972491
1300,931684,0,766080,992067
1350,927345,0,717887,1002005
1400,923871,0,661986,1012043
1450,921182,0,595602,1022181
1500,927823,0,538105,1042757
1550,925509,0,476717,1053195
1600,923758,0,413172,1063733
1650,922417,0,349266,1074371
1700,921931,0,298643,1085109
1750,921470,0,254058,1095947
1800,921691,0,204110,1106662
1850,922175,0,168462,1117521
1900,913710,0,135621,1117521
1950,914658,0,113374,1128702
2000,915766,0,93545,1139977
2050,917378,0,81781,1151356
2100,919533,0,74352,1162886
2150,913059,0,62197,1162886
2200,915243,0,52857,1174517
2250,918118,0,38477,1186244
2300,911846,0,27406,1186244
2350,914802,0,20853,1198120
2400,909363,0,16821,1198120
