,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,1005917,500000,500000,500000
100,967202,187890,607479,708619
200,936320,68810,338960,974388
300,913102,25241,124060,1300366
400,891179,9358,45446,1683776
500,879396,3379,16699,2160092
600,864049,0,6057,2713619
700,853919,0,889,3360657
800,844030,0,0,4056143
900,835529,0,0,4826113
1000,827667,0,0,5722443
1100,825188,0,0,6583613
1200,815346,0,0,7280178
1300,814827,0,0,7879550
1400,809104,0,0,8192903
1500,804162,0,0,8289815
1600,807410,0,0,8597184
1700,799698,0,0,9140203
1800,798088,0,0,9632195
1900,790120,0,0,9872496
2000,784248,0,0,9982706
2100,783076,0,0,10037454
2200,775971,0,0,9998301
2300,778104,0,0,10066773
2400,773409,0,0,10043115
