,Emissions_UP5,Top Fifty Polluters Supply_UP5,Average Polluters Supply_UP5,Top Fifty Efficient Supply_UP5
0,999963,500000,500000,500000
50,993169,356465,518083,522733
100,987297,220012,541610,546900
150,983133,135838,566497,571238
200,978803,85580,585920,592417
250,974573,55697,604791,611003
300,967804,34374,623167,631786
350,967545,20803,646625,654199
400,960500,12799,662515,672723
450,959202,8009,684250,694564
500,954639,5260,700531,711891
550,953643,2255,719972,730535
600,951939,0,739923,748615
650,946276,0,756670,763528
700,946864,0,776115,784714
750,943162,0,795108,803594
800,940840,0,812491,818656
850,938824,0,831167,836406
900,937989,0,846423,852780
950,938599,0,865913,872192
1000,935382,0,881750,886982
1050,932188,0,897957,903089
1100,930755,0,914106,917407
1150,928978,0,905409,931643
1200,927997,0,846131,946667
1250,928928,0,760046,960903
1300,929221,0,655058,975065
1350,925222,0,538565,984909
1400,926699,0,421900,1001441
1450,923243,0,301823,1012440
1500,920947,0,189592,1024810
1550,923432,0,115268,1042566
1600,921656,0,69853,1052261
1650,921025,0,42425,1065109
1700,920665,0,26501,1076354
1750,915607,0,16710,1084596
1800,915693,0,11218,1097258
1850,916587,0,8075,1110409
1900,917631,0,6351,1122986
1950,913601,0,5648,1129537
2000,915769,0,5324,1142896
2050,913233,0,5254,1149237
2100,910911,0,5225,1156056
2150,913065,0,5225,1168658
2200,911072,0,5185,1175747
2250,913546,0,4908,1188333
2300,911599,0,4832,1195033
2350,910361,0,4708,1201465
2400,909498,0,4707,1207422
